word,definitionEnglish,definitionNative,exampleSentence1,exampleSentence1English,exampleSentence2,exampleSentence2English,dialect,pos,domain
Nyenkya,I want to finish this work tomorrow.,Ningonza kumara omulimo gunu nyekya.,Ningonza kumara omulimo gunu nyekya.,I want to finish this work tomorrow.,,,Both,,
by'okuguza,The government of Uganda is encouraging farmers to increase growing crops from where they can earn income.,Gavumenti ya Uganda neyekambisa abalimi na abaliisa kukanyisa ebirimwa ebyokutunda.,Gavumenti ya Uganda neyekambisa abalimi na abaliisa kukanyisa ebirimwa ebyokutunda.,The government of Uganda is encouraging farmers to increase growing crops from where they can earn income.,,,Both,,
Abobumu mukwehangahanga.,The art movement made a very big thing.,Abobumu mukwehangahanga bakoziire ekintu kikoto.,Abobumu mukwehangahanga bakoziire ekintu kikoto.,The art movement made a very big thing.,,,Both,,
Ebyomwoyo,Mr.Munaku studed Divinity.,Munaku akasoma amasomo ag'ebyomiwoyo.,Munaku akasoma amasomo ag'ebyomiwoyo.,Mr.Munaku studed Divinity.,,,Both,,
ebyokorozesa mumuzaano,the tables and the chairs were important props for the dining scene,entebe n'emeeza bintu bikuru ebyokukozesa mu muzaano habwe'kicweeka kyemeeza,entebe n'emeeza bintu bikuru ebyokukozesa mu muzaano habwe'kicweeka kyemeeza,the tables and the chairs were important props for the dining scene,,,Both,,
kucikababiri,"when they continued their dialogue ,the audience listened attentively",abaire nabaza nabagenzibe abantu baculeera kuhuliriza,abaire nabaza nabagenzibe abantu baculeera kuhuliriza,"when they continued their dialogue ,the audience listened attentively",,,Both,,
otisi,Oats is a cereal grain crop mostly used for porridge and animal feeds.,Ekirimwa kya otisi nakyo kyensi za aheeru nikisisa nka bale kyenjuma. Enjuma ba isa baihamu obusera neby'okurya by'ebisoro.,Ekirimwa kya otisi nakyo kyensi za aheeru nikisisa nka bale kyenjuma. Enjuma ba isa baihamu obusera neby'okurya by'ebisoro.,Oats is a cereal grain crop mostly used for porridge and animal feeds.,,,Both,,
oburorwaho,they used symbolism to represent different things,bakakogesa oburo rwaho kwoleka ebintu ebitaliu bimu,bakakogesa oburo rwaho kwoleka ebintu ebitaliu bimu,they used symbolism to represent different things,,,Both,,
Ebyafaayo by’okwehangahanga,He is studying Art History.,Nasoma Ebyafaayo by’okwehangahanga.,Nasoma Ebyafaayo by’okwehangahanga.,He is studying Art History.,,,Both,,
Abaigara,The Abaigara people dont disturb others .,Abaigara bantu tibatalibaniza bagenzi baabo.,Abaigara bantu tibatalibaniza bagenzi baabo.,The Abaigara people dont disturb others .,,,Both,,
Ensisana y’okugenda,The lines were showing the movement.,Emisitale ekaba neyoleka ensisana y’okugenda.,Emisitale ekaba neyoleka ensisana y’okugenda.,The lines were showing the movement.,,,Both,,
Ensorongya.,Bright colors add rhythm to artwork.,Range ezirukwaka zoongeraho ensorongya ha mulimo gw’omwehangahangi.,Range ezirukwaka zoongeraho ensorongya ha mulimo gw’omwehangahangi.,Bright colors add rhythm to artwork.,,,Both,,
Mwijukuru omwisiki,My Granddaughter stays with me.,Mwijukuru wange omwisiki aikara nanyowe.,Mwijukuru wange omwisiki aikara nanyowe.,My Granddaughter stays with me.,,,Both,,
ebicooli,Maize is an important crop in the country. It is grown for food and as a cash crop to get money.,Ebicooli kirimwa kikuru muno omu ihanga kandi kirimwa habwebyokurya nokutunda kutungamu sente.,Ebicooli kirimwa kikuru muno omu ihanga kandi kirimwa habwebyokurya nokutunda kutungamu sente.,Maize is an important crop in the country. It is grown for food and as a cash crop to get money.,,,Both,,
Nyineju,My uncle and his wife stay in the village.,Nyinarumi nyowe namukazi we baikara mukyaro.,Nyinarumi nyowe namukazi we baikara mukyaro.,My uncle and his wife stay in the village.,,,Both,,
Kuhwita,When you grow old you become weak.,"Obwomara kuhwita, amaani gakuhwa.","Obwomara kuhwita, amaani gakuhwa.",When you grow old you become weak.,,,Both,,
Ibara ry'enzarwa,My last name is Bakasara.,Ibara ryenzarwa Ninyowe Bakasara.,Ibara ryenzarwa Ninyowe Bakasara.,My last name is Bakasara.,,,Both,,
ekigendererwa kyo,the theme of the play was not evident at the end,ekigenderwa omuzaano gwabo hakimaliirra,ekigenderwa omuzaano gwabo hakimaliirra,the theme of the play was not evident at the end,,,Both,,
Ibara ry'okubaza,My first name is Rose.,Ibara ryange Ninyowe Rose.,Ibara ryange Ninyowe Rose.,My first name is Rose.,,,Both,,
Abaisanze,The Abaisanze are guards of the seat of the king of Tooro.,Abaisanze balinda Ekitebe kyomukama wa Tooro.,Abaisanze balinda Ekitebe kyomukama wa Tooro.,The Abaisanze are guards of the seat of the king of Tooro.,,,Both,,
ABAISIKATWE,The Abaisikatwe are few people scattered hear and there in Bunyooro and Tooro.,Abaisikatwe bantu bake muno baikara benagire hanuna kali Bunyooro na Tooro.,Abaisikatwe bantu bake muno baikara benagire hanuna kali Bunyooro na Tooro.,The Abaisikatwe are few people scattered hear and there in Bunyooro and Tooro.,,,Both,,
Orugendo,The trip was very long but exciting.,Orugendo rukaba ruraihire baitu nirukyanganura.,Orugendo rukaba ruraihire baitu nirukyanganura.,The trip was very long but exciting.,,,Both,,
ebirukubaho mumuzaano,the play pl;ot was sequecial up tothe end,ebyabaireho mu muzaano bikakurtana kurungi,ebyabaireho mu muzaano bikakurtana kurungi,the play pl;ot was sequecial up tothe end,,,Both,,
omwetekaniza webi jwaaro mumuzaano,the costume designer crated relevant costumes for the actors,omutekaruza w'ebijwaro akakora ebijwaaro ebirukugenderaha muzaano,omutekaruza w'ebijwaro akakora ebijwaaro ebirukugenderaha muzaano,the costume designer crated relevant costumes for the actors,,,Both,,
Omubazi katangira buhuka.,Clean the wound with antiseptic to prevent it from infection.,Ekihooya okinaabye n’omubazi katangira buhuka.,Ekihooya okinaabye n’omubazi katangira buhuka.,Clean the wound with antiseptic to prevent it from infection.,,,Both,,
omwtekaruza webyamataara,the lighting designer adjusted the colours to match the sunset,omuteekaniza wamataara akainganiza etaara nukwo zooleke ekisoonabazaana,omuteekaniza wamataara akainganiza etaara nukwo zooleke ekisoonabazaana,the lighting designer adjusted the colours to match the sunset,,,Both,,
Akabazi kogya.,Jane bought a disinfectant to clean her house.,Jane aguzire akabazi kogya kusiimura enju.,Jane aguzire akabazi kogya kusiimura enju.,Jane bought a disinfectant to clean her house.,,,Both,,
crop grown for food,Some farmers in the country grow mostly food crops and that is why they are being encouraged to grow cash crops to enter the cash econy.,Abalimi b'omubyaro abarukukira obwingi balima ebyokurya .,Abalimi b'omubyaro abarukukira obwingi balima ebyokurya .,Some farmers in the country grow mostly food crops and that is why they are being encouraged to grow cash crops to enter the cash econy.,,,Both,,
Hangi,Hangi is the father of Ruhanga in the power of Hangi Ruhanga does all things.,Hangi niwe Ise Ruhanga kandi mubusobozi bwa Hangi nuho Ruhanga akorra emiri moyo.,Hangi niwe Ise Ruhanga kandi mubusobozi bwa Hangi nuho Ruhanga akorra emiri moyo.,Hangi is the father of Ruhanga in the power of Hangi Ruhanga does all things.,,,Both,,
Ekihulirizo.,The stethoscope was placed on the old woman and the heart was pumping very fast.,Omukaikuru bamutaireho ekihulirizo basanga omutiima nitugera muno.,Omukaikuru bamutaireho ekihulirizo basanga omutiima nitugera muno.,The stethoscope was placed on the old woman and the heart was pumping very fast.,,,Both,,
amaraka g'okumanyisa,the movie used sound effects of thunder during the performance,abebisisani bya sineema bakakozesa amaraka g'okumanyisa enkuba omuzaano,abebisisani bya sineema bakakozesa amaraka g'okumanyisa enkuba omuzaano,the movie used sound effects of thunder during the performance,,,Both,,
akagambiso,"the singer,s microphone was connected to the amplifier",akagambiso kabazini bakakakwataruza na rwongeza iraka,akagambiso kabazini bakakakwataruza na rwongeza iraka,"the singer,s microphone was connected to the amplifier",,,Both,,
omujenjeezi,"Nomads move from one place to another looking for food, water, and pasture for their livelihood.","Abantu abataikara omukikaro kimu, baikara nibajenjeera hanu nahali.","Abantu abataikara omukikaro kimu, baikara nibajenjeera hanu nahali.","Nomads move from one place to another looking for food, water, and pasture for their livelihood.",,,Both,,
Oruhumuro,She stayed at home during the holiday.,Oruhumuro akarumarra omuka.,Oruhumuro akarumarra omuka.,She stayed at home during the holiday.,,,Both,,
omutekaniza webyamaraka,the sound designer added thunder and wind sounds in the play,"omutekaniza w'e byamaraka akoongeramu ery'e nkuba, n'eryomuya","omutekaniza w'e byamaraka akoongeramu ery'e nkuba, n'eryomuya",the sound designer added thunder and wind sounds in the play,,,Both,,
Kyamukaga na sabbiti,I will go to visit my grandmother on saturday and sunday.,Ningenda kurora mukaka kiro kyamukaga na sabbiti.,Ningenda kurora mukaka kiro kyamukaga na sabbiti.,I will go to visit my grandmother on saturday and sunday.,,,Both,,
Hambeho,I got the information from the social net work.,Ntungirege amakuru kuruga hambeho.,Ntungirege amakuru kuruga hambeho.,I got the information from the social net work.,,,Both,,
ekibarukukira kurya,Bananas are staple crops grown grown and eaten in Buganda and most parts of western Uganda and millet are staple crops in eastern and northern Uganda.,Ebyokurya abantu bomu kikaro bakira muno kurya.,Ebyokurya abantu bomu kikaro bakira muno kurya.,Bananas are staple crops grown grown and eaten in Buganda and most parts of western Uganda and millet are staple crops in eastern and northern Uganda.,,,Both,,
Orupimo rwobutagasi,The thermometer showered that her temperature was so high.,Orupimo rwobutagasi rwolekere ngu aine nayokya muno.,Orupimo rwobutagasi rwolekere ngu aine nayokya muno.,The thermometer showered that her temperature was so high.,,,Both,,
Obutumwa,I set you an email on phone,Nkusindikire obutumwa ha simu.,Nkusindikire obutumwa ha simu.,I set you an email on phone,,,Both,,
Ibara,Her name is Rose.,Ibara rye nuwe Rose.,Ibara rye nuwe Rose.,Her name is Rose.,,,Both,,
omwehangahangi w'ebyokwesemeza,the make upartist used bright colours to make the character stand out,"omwehryomungahangi w'ebyokwesemeza, akoongera ery,enkuba n'eryomuya","omwehryomungahangi w'ebyokwesemeza, akoongera ery,enkuba n'eryomuya",the make upartist used bright colours to make the character stand out,,,Both,,
Abaitira,Abaitira are cattle keepers from the past .,Abaitira bahuma kuruga kara baalinibalinda Ente nyingi.,Abaitira bahuma kuruga kara baalinibalinda Ente nyingi.,Abaitira are cattle keepers from the past .,,,Both,,
Kyakabiri,I go to the farm on every Tuesday.,Buli kyakabiri ngenda mwirisizo.,Buli kyakabiri ngenda mwirisizo.,I go to the farm on every Tuesday.,,,Both,,
Baraza,I go to dig on every Monday.,Ngenda kulima buli Baraza.,Ngenda kulima buli Baraza.,I go to dig on every Monday.,,,Both,,
Omucencuzi,The art critic is very tough.,Omucencuzi agumire muno.,Omucencuzi agumire muno.,The art critic is very tough.,,,Both,,
Omwaka,They are twelve months in a year.,Omwaka gurumu emyezi Ikumi nebiri.,Omwaka gurumu emyezi Ikumi nebiri.,They are twelve months in a year.,,,Both,,
Kurambura omwoleko,"During the vernissage, the guest of honor requested that the items be increased.","Omukurambura omwoleko, omugenyi mukuru akasaba ebintu byongerweho.","Omukurambura omwoleko, omugenyi mukuru akasaba ebintu byongerweho.","During the vernissage, the guest of honor requested that the items be increased.",,,Both,,
ebyenjuma,Cereals are grown for their grains which are energy giving foods ie carbohydrates.,Ebyokurya ebyenjuma bitungisa amaani.,Ebyokurya ebyenjuma bitungisa amaani.,Cereals are grown for their grains which are energy giving foods ie carbohydrates.,,,Both,,
Omukozi,Every employee must follow the company rules.,Omukozi wena nateekwa kuhondera ebiragiro by'ekitongole.,Omukozi wena nateekwa kuhondera ebiragiro by'ekitongole.,Every employee must follow the company rules.,,,Both,,
Mukozi nyakyaitu,My colleague sits next to me.,Omukozi nyakyaitu aikara haihi nanyowe.,Omukozi nyakyaitu aikara haihi nanyowe.,My colleague sits next to me.,,,Both,,
ebyokwesemeza/ ebyokwesiga,special makeup can change an actors apperance,"ebyokwesiga nibihindura ensisana ya,baaza","ebyokwesiga nibihindura ensisana ya,baaza",special makeup can change an actors apperance,,,Both,,
Enda,The lady at the shop is pregnant.,Mukazi wa haduka ain’enda.,Mukazi wa haduka ain’enda.,The lady at the shop is pregnant.,,,Both,,
by'omuka,Subistence farming is the growing of crops and keeping of animals to help oneself and family.,Abalimi na baliisa abalikukira obwingi balima ebyokurya by'omuka kwonka.,Abalimi na baliisa abalikukira obwingi balima ebyokurya by'omuka kwonka.,Subistence farming is the growing of crops and keeping of animals to help oneself and family.,,,Both,,
orutimbi,the curtain rose and the play began,"orutimbi bakarwi mwkya, omuzaano gwatandika","orutimbi bakarwi mwkya, omuzaano gwatandika",the curtain rose and the play began,,,Both,,
Kukebeza,It’s time for the lady to go for antenatal.,Omukazi ahikize obwire bw’okukebeza.,Omukazi ahikize obwire bw’okukebeza.,It’s time for the lady to go for antenatal.,,,Both,,
sente,The price of the pair of shoes is at twenty thousand only.,Sente zokugura enkaito ziri mitwaro ebiri yonka.,Sente zokugura enkaito ziri mitwaro ebiri yonka.,The price of the pair of shoes is at twenty thousand only.,,,Both,,
Omutaahi,My neighbor is good farmer.,Omutahi wange muliisa murungi.,Omutahi wange muliisa murungi.,My neighbor is good farmer.,,,Both,,
Nyineka,Every saturday I go with my husband to the market to buy food.,Buli kyamukaga ngenda na Nyineka mukatale kugura ebyokurya.,Buli kyamukaga ngenda na Nyineka mukatale kugura ebyokurya.,Every saturday I go with my husband to the market to buy food.,,,Both,,
Abajagara,The Abajagara are a sub clan of Babiito but for them they dont show them to be .,Abajagara kitabu kya Babiito baitu bbo tibeyoleka okuba bbo .,Abajagara kitabu kya Babiito baitu bbo tibeyoleka okuba bbo .,The Abajagara are a sub clan of Babiito but for them they dont show them to be .,,,Both,,
ensimbi,I have enough money to pay for the matress.,Nyina ensimbi ezirukumara kusasaru omufaliso.,Nyina ensimbi ezirukumara kusasaru omufaliso.,I have enough money to pay for the matress.,,,Both,,
Abeka,My family helps each other when the need arises.,Abeeka yange bakonyera ngana obuhabaho okweta.,Abeeka yange bakonyera ngana obuhabaho okweta.,My family helps each other when the need arises.,,,Both,,
timanyire,I dunno where they went.,Timanyire nambere bagenzire.,Timanyire nambere bagenzire.,I dunno where they went.,,,Both,,
Omunyabuzaale,My relative lives in Tooro kingdom.,Omunyabuzaale wange ikara mu Bukama bwa Tooro.,Omunyabuzaale wange ikara mu Bukama bwa Tooro.,My relative lives in Tooro kingdom.,,,Both,,
omuzaani owobutendebeke,stunt double performs dangerous and actions and the actors stay safe,omuzaani owobutendebeke azaana ebicweeka ebisobora kuleeta akabi,omuzaani owobutendebeke azaana ebicweeka ebisobora kuleeta akabi,stunt double performs dangerous and actions and the actors stay safe,,,Both,,
"Owanyinento, Owaisento, Owanyinarumii.",I and my cousin like running every day.,Nyowe nowanyinento nyowe tugonza kwiruka buli kiro.,Nyowe nowanyinento nyowe tugonza kwiruka buli kiro.,I and my cousin like running every day.,,,Both,,
Omwihwa omwojo,My nephew is learning how to ride a bicycle.,Omwihwa wange nayega kusamba egaali.,Omwihwa wange nayega kusamba egaali.,My nephew is learning how to ride a bicycle.,,,Both,,
Kukeehya,Abbreviation,kufunza,,,,,Mixed,N,NAR
nyetegerize,I understand your decision.,Nyetegerize encwamu yaawe.,Nyetegerize encwamu yaawe.,I understand your decision.,,,Both,,
nkengere,I get it we need to leave early.,Nkengere nitusemerra kugenda kara.,Nkengere nitusemerra kugenda kara.,I get it we need to leave early.,,,Both,,
Pamba,The wound was covered with cotton wool.,Ekihooya bakiswekere na pamba.,Ekihooya bakiswekere na pamba.,The wound was covered with cotton wool.,,,Both,,
Omwihwa,My niece likes eating millet cake.,Omwihwa wange agonza kurya oburo.,Omwihwa wange agonza kurya oburo.,My niece likes eating millet cake.,,,Both,,
Nyinarumi/ Isento,His maternal uncle is coming to visit him.,Nyinarumi naija kumubungira.,Nyinarumi naija kumubungira.,His maternal uncle is coming to visit him.,,,Both,,
Ekiikopo,The mug has a picture of a hen on it.,Ekiikopo Kiroho ekisisani kyenkoko.,Ekiikopo Kiroho ekisisani kyenkoko.,The mug has a picture of a hen on it.,,,Both,,
kulima ha toito,A farmer with a small plot of land may not practice commercial farming unless modern methods of agriculture are used.,Omulimi akalima ha taito aina ebyokurya bike.,Omulimi akalima ha taito aina ebyokurya bike.,A farmer with a small plot of land may not practice commercial farming unless modern methods of agriculture are used.,,,Both,,
Esahaani,The head of the family has his own plate and cup.,Nyineka agiira esahaani ye ne kikopokye.,Nyineka agiira esahaani ye ne kikopokye.,The head of the family has his own plate and cup.,,,Both,,
Omuhangi,The creator created me and the universe.,Omuhangi akahanga nyowe nebintu byona mwiguru no munsi.,Omuhangi akahanga nyowe nebintu byona mwiguru no munsi.,The creator created me and the universe.,,,Both,,
ekijwaaro kyomumuzaano,the actress wore beautiful costume for the role of thqueen,omuzaano okuliraho omukazi akajwaara ekijwaaro kirungi nk'omukoma kati,omuzaano okuliraho omukazi akajwaara ekijwaaro kirungi nk'omukoma kati,the actress wore beautiful costume for the role of thqueen,,,Both,,
omunaku,Poverty is a disease because it makes one sad and miserable and very often unhappy and easily irritated.,Omulimi ataine itaka lingi kandiaine nentahya nke aba wobujune bwingi habwokuba aba munaku.,Omulimi ataine itaka lingi kandiaine nentahya nke aba wobujune bwingi habwokuba aba munaku.,Poverty is a disease because it makes one sad and miserable and very often unhappy and easily irritated.,,,Both,,
Ebbakule,Millet eaters eat sauce from a bowl.,Abali b’oburo bakoleza mu bbakule.,Abali b’oburo bakoleza mu bbakule.,Millet eaters eat sauce from a bowl.,,,Both,,
Ekikopo ky’ebyaakyo,The flower vase broke.,Ekikopo ky’ebyaakyo Kyatiikirre.,Ekikopo ky’ebyaakyo Kyatiikirre.,The flower vase broke.,,,Both,,
Nyampara,The curator explained the history of every item in the museum.,Nyampara we ryabuurro ry’ebyakara akasoboora ebyafayo byabuli kiri muryahuurro.,Nyampara we ryabuurro ry’ebyakara akasoboora ebyafayo byabuli kiri muryahuurro.,The curator explained the history of every item in the museum.,,,Both,,
Ekyokwoleka,The exhibit is heavy.,Ekyokwoleka kiremiire muno.,Ekyokwoleka kiremiire muno.,The exhibit is heavy.,,,Both,,
Kulemeraho.,You have to emphasize so that the work is done.,Oine kulemeraho nukwo emiiro ekorwe.,Oine kulemeraho nukwo emiiro ekorwe.,You have to emphasize so that the work is done.,,,Both,,
crop grown for cash,Crops farmers grow purposely for getting cash income are commonly called cash crops.,Ebirimwa ha bwokuihamu sente.,Ebirimwa ha bwokuihamu sente.,Crops farmers grow purposely for getting cash income are commonly called cash crops.,,,Both,,
Kutaisana,Contrast makes the prices different.,Kutaisana kuleetaho empinduka mumihendo.,Kutaisana kuleetaho empinduka mumihendo.,Contrast makes the prices different.,,,Both,,
nosobora kugarukamu eki?,Can you repeat that story?,Nosobora kugarukamu oruganikyo oru?,Nosobora kugarukamu oruganikyo oru?,Can you repeat that story?,,,Both,,
Enyinganainganiza.,The weighing scale has to balance.,Minzani ine kwinganaingana.,Minzani ine kwinganaingana.,The weighing scale has to balance.,,,Both,,
Kuingangana kwebicweka.,An expert has to know the right proportions.,Omukugu aina kumanya Kuingangana kwebicweka.,Omukugu aina kumanya Kuingangana kwebicweka.,An expert has to know the right proportions.,,,Both,,
Kiro,She has a meeting at work today.,Aine orukurato ha mulimo kiro kinu.,Aine orukurato ha mulimo kiro kinu.,She has a meeting at work today.,,,Both,,
Kuteera ekisisani.,That girl is an expert in photography.,Ogu omwisiki akugukire omu kuteera ebisisani.,Ogu omwisiki akugukire omu kuteera ebisisani.,That girl is an expert in photography.,,,Both,,
Ekiro,I first pray at night before I go to bed.,Mbanza kusaba ekiro ntakagenzire mu kitabu.,Mbanza kusaba ekiro ntakagenzire mu kitabu.,I first pray at night before I go to bed.,,,Both,,
Kwiragura n’akibwebwebwebwe,High contrast in value makes the painting stand out.,Endengesaruza yokwiragura n’akibwebwebwebwe ekaihayo ekisisani.,Endengesaruza yokwiragura n’akibwebwebwebwe ekaihayo ekisisani.,High contrast in value makes the painting stand out.,,,Both,,
Omwaanya,I left and I came back when my space was taken.,Nkarugaho nasanga omwaanya gwange bagutwaire.,Nkarugaho nasanga omwaanya gwange bagutwaire.,I left and I came back when my space was taken.,,,Both,,
orukuroleera ebaharutuuti,keeps truck of the scripts during the play,akukuroleerra ebya harututi,akukuroleerra ebya harututi,keeps truck of the scripts during the play,,,Both,,
amaatara,stage lighting can change the mood of the peformance,"etaaro zaharutunurra nigooleka obukuru bwa kizaa muzaana,nesisana y'omwzaano","etaaro zaharutunurra nigooleka obukuru bwa kizaa muzaana,nesisana y'omwzaano",stage lighting can change the mood of the peformance,,,Both,,
Enyombeka y’aheeru.,The shape of a ball is round.,Enyombeka y’aheeru y’omupiira eyekulingiriire.,Enyombeka y’aheeru y’omupiira eyekulingiriire.,The shape of a ball is round.,,,Both,,
Ekikaraamu,The teacher uses a marker to write on the chart.,Omusomesa akakozesa ekikaraamu kuhandika ka kipapuro.,Omusomesa akakozesa ekikaraamu kuhandika ka kipapuro.,The teacher uses a marker to write on the chart.,,,Both,,
Karaamu y’enkwaasi,The children painted using crayons.,Abaana bakasiiga ebisisani na Karaamu y’enkwaasi.,Abaana bakasiiga ebisisani na Karaamu y’enkwaasi.,The children painted using crayons.,,,Both,,
Kwinganiza Amagufa,Bone carving is often done for cultural purposes.,Kwinganiza amagufa kiba kikorwa kyenzarwa.,Kwinganiza amagufa kiba kikorwa kyenzarwa.,Bone carving is often done for cultural purposes.,,,Both,,
Kwinganiza amasanga,Ivory carvings are highly valued.,Amasaga againganizibwe gomuhendo muno.,Amasaga againganizibwe gomuhendo muno.,Ivory carvings are highly valued.,,,Both,,
Kwinganiza ibaale.,Very strong machines are used for stone carving.,Kwinganiza emabaale bakozesa ebyoma byamani.,Kwinganiza emabaale bakozesa ebyoma byamani.,Very strong machines are used for stone carving.,,,Both,,
amaatatunuurra,the spt light highlighted the main performer on stage,amaatara rutunuurra nigooleka obukuuru bwa kizaaru mu muzaano,amaatara rutunuurra nigooleka obukuuru bwa kizaaru mu muzaano,the spt light highlighted the main performer on stage,,,Both,,
Kwinganiza,The role of John at the carpentry shop is carving.,Omulimo gwa John guba kwinganiza.,Omulimo gwa John guba kwinganiza.,The role of John at the carpentry shop is carving.,,,Both,,
Okwezi,I will vist my mother next month.,Okwezi kurukwija nimbungira mau.,Okwezi kurukwija nimbungira mau.,I will vist my mother next month.,,,Both,,
kuhika,We are soon reaching. We are soon coming.,Nituhika bwangu. Tuli haihi kuhika.,Nituhika bwangu. Tuli haihi kuhika.,We are soon reaching. We are soon coming.,,,Both,,
Kukingura omwereko.,The guest of honor was in charge of the opening ceremony.,Omugenyi mukuru nuwe akaba najunanizibwa Kukingura omwereko.,Omugenyi mukuru nuwe akaba najunanizibwa Kukingura omwereko.,The guest of honor was in charge of the opening ceremony.,,,Both,,
Omwoleko habwakaanyabwanya,The temporary exhibition attracted very many people.,Omwoleko habwakaanyabwanya gukaleta abantu baingi.,Omwoleko habwakaanyabwanya gukaleta abantu baingi.,The temporary exhibition attracted very many people.,,,Both,,
Ebyobuhangazi,The president’s photo was placed in the permanent collection.,Ekisisani ky’omulemi mukuru owihanga bakakiteka mu Ebyobuhangazi.,Ekisisani ky’omulemi mukuru owihanga bakakiteka mu Ebyobuhangazi.,The president’s photo was placed in the permanent collection.,,,Both,,
Ebisorozibwe,The book collection is so good.,Ebisorozibwe by’ebitabu birungi muno.,Ebisorozibwe by’ebitabu birungi muno.,The book collection is so good.,,,Both,,
Genda,They will move to the new market to buy some items.,Nibaija kugenda mukatale akahyaka kugura ebintu.,Nibaija kugenda mukatale akahyaka kugura ebintu.,They will move to the new market to buy some items.,,,Both,,
Ijo,I met my uncle at church yesterday.,Ijo ntangatangainege nyinarumi nyowe hakanisa.,Ijo ntangatangainege nyinarumi nyowe hakanisa.,I met my uncle at church yesterday.,,,Both,,
kuleta,I will bring the dress.,Ninyija kukuletera ekiteteyi.,Ninyija kukuletera ekiteteyi.,I will bring the dress.,,,Both,,
Kuihamu kyonyini,The photo has a good perspective.,Kuihamu kyonyini Kwekisisani kurungi.,Kuihamu kyonyini Kwekisisani kurungi.,The photo has a good perspective.,,,Both,,
kutwara,Take that goat to my home.,Twara embuzi egi muka yange.,Twara embuzi egi muka yange.,Take that goat to my home.,,,Both,,
Encooka y’ebirukikwataho,The painting composition makes it look good.,Encooka y’ebirukikwataho nerugwamu omuliimo g’wokwehangahanga murungi.,Encooka y’ebirukikwataho nerugwamu omuliimo g’wokwehangahanga murungi.,The painting composition makes it look good.,,,Both,,
Abajuuka,The Abajuuka is a clan of few people but strong in all what they do .,Abajuuka ruganda Rutaito kyonka abantu bamaani omumirimo yoona.,Abajuuka ruganda Rutaito kyonka abantu bamaani omumirimo yoona.,The Abajuuka is a clan of few people but strong in all what they do .,,,Both,,
kuhayo,Come and give in the presents you have brought.,Ija oheyo ebisembo ebyolesire.,Ija oheyo ebisembo ebyolesire.,Come and give in the presents you have brought.,,,Both,,
kwanukura,He received an award for his hard work.,Atungire ebisembo habw'obwekambi bwe.,Atungire ebisembo habw'obwekambi bwe.,He received an award for his hard work.,,,Both,,
rwongeza iraka,"the amplifier boosted the singer,s microphone signal",rwongeza maraka ekoongera amaani amaranga g'akagamabiso,rwongeza maraka ekoongera amaani amaranga g'akagamabiso,"the amplifier boosted the singer,s microphone signal",,,Both,,
omugendagenzi,Transhumance is the seasonal movement of live stock between seasonal pastures.,Ebisoro ebibatwara twara kisigikira obwire nkoku buba buli i.e obwekyanda rundi obwenjura.,Ebisoro ebibatwara twara kisigikira obwire nkoku buba buli i.e obwekyanda rundi obwenjura.,Transhumance is the seasonal movement of live stock between seasonal pastures.,,,Both,,
Amagezi g’embaganiza,I have a technique that will help me finish my work very fast.,Nyine amagezi g’embaganiza agarankonyera kurahukya omulimo.,Nyine amagezi g’embaganiza agarankonyera kurahukya omulimo.,I have a technique that will help me finish my work very fast.,,,Both,,
omuzindaaro,the speaker helped the audience to hear the presentation,omuzindaaro gukakonyera abasungi kuhurra ebyomuzaano,omuzindaaro gukakonyera abasungi kuhurra ebyomuzaano,the speaker helped the audience to hear the presentation,,,Both,,
Enkora yembaganiza,The style he used earned him very good results.,Akakozesa enkora yembaganiza yaihamu omulimo murungi.,Akakozesa enkora yembaganiza yaihamu omulimo murungi.,The style he used earned him very good results.,,,Both,,
Ekihangahanga nyamuligirwa,He sold his fine art to a rich man.,Ekihangahanga nyamuligirwa akakiguza omugaiga.,Ekihangahanga nyamuligirwa akakiguza omugaiga.,He sold his fine art to a rich man.,,,Both,,
enyuma y'orutuuti,the actors were numerous backstage before the play started,omuzaano obugukaba gutakatandikire abazaani bakaba bali enyuma y'orutuuti batiinire,omuzaano obugukaba gutakatandikire abazaani bakaba bali enyuma y'orutuuti batiinire,the actors were numerous backstage before the play started,,,Both,,
Kibwebwebwebwe,The colors have different tones.,Erangi za Kibwebwebwebwe,Erangi za Kibwebwebwebwe,The colors have different tones.,,,Both,,
Obwire bw’enda,Some women fall sick during pregnancy.,Obwire bw’enda abakazi abamu barwara muno.,Obwire bw’enda abakazi abamu barwara muno.,Some women fall sick during pregnancy.,,,Both,,
Erangi rwongerwaaho,Tint was put on the car glass to reduce light from the sun.,Erangi rwongerwaaho Bakahisiga ha mokoka kutangirra omusana,Erangi rwongerwaaho Bakahisiga ha mokoka kutangirra omusana,Tint was put on the car glass to reduce light from the sun.,,,Both,,
omumbaju z'orutuuti,prpos were repeated in the wings until needed,ebyokukozesa bikalindirwa mumbaju z'orutuut kuhurya obubyayetagirwe,ebyokukozesa bikalindirwa mumbaju z'orutuut kuhurya obubyayetagirwe,prpos were repeated in the wings until needed,,,Both,,
omurukyakya,Let's wake up very early in the morning.,Tuzinduke tulime nyenkyakara.,Tuzinduke tulime nyenkyakara.,Let's wake up very early in the morning.,,,Both,,
